asset_id,request_id,status,source_file,runtime_file,sha256,creator,tool_model,created_at,license,source_url,attribution_required,attribution_text,approved_by,approved_at,integrated_at,replaces_asset_id,notes
VIS-MAP-001-rulid_village_terrain_v005-v005,VIS-MAP-001,received,inbox/visual/world/VIS-MAP-001_rulid_village_terrain_v005.png,,1eed8081d3b6c06f50cc9b584c6a59d692de313f6794a0a5e60a4f7692d46455,Mavis/project,procedural-map-v005 (Pillow/numpy + v004 terrain base),2026-08-07,owned,none,false,,,,,VIS-MAP-001-master-ai-v004,v005 runtime layer package; received only
VIS-MAP-001-rulid_village_water_v005-v005,VIS-MAP-001,received,inbox/visual/world/VIS-MAP-001_rulid_village_water_v005.png,,4a97e04fa1d5dbc740f91736f49a3e364c2b3fd45d9c13431df3e27b8d88524b,Mavis/project,procedural-map-v005 (Pillow/numpy + v004 terrain base),2026-08-07,owned,none,false,,,,,VIS-MAP-001-master-ai-v004,v005 runtime layer package; received only
VIS-MAP-001-rulid_village_roads_v005-v005,VIS-MAP-001,received,inbox/visual/world/VIS-MAP-001_rulid_village_roads_v005.png,,d87ddf2a73ed21471d3a214fe6e51858cc653091a8964750e9bca30c09052150,Mavis/project,procedural-map-v005 (Pillow/numpy + v004 terrain base),2026-08-07,owned,none,false,,,,,VIS-MAP-001-master-ai-v004,v005 runtime layer package; received only
VIS-MAP-001-rulid_village_buildings_v005-v005,VIS-MAP-001,received,inbox/visual/world/VIS-MAP-001_rulid_village_buildings_v005.png,,43eddc49865e15d65fc03ffeb513f09c9d1239378d362e4a0ceb310949ee33a7,Mavis/project,procedural-map-v005 (Pillow/numpy + v004 terrain base),2026-08-07,owned,none,false,,,,,VIS-MAP-001-master-ai-v004,v005 runtime layer package; received only
VIS-MAP-001-rulid_village_vegetation_v005-v005,VIS-MAP-001,received,inbox/visual/world/VIS-MAP-001_rulid_village_vegetation_v005.png,,c6a2621a444c4fa22ece855dd95fdfca880717aa980b0f94a3945d4cfd47dca9,Mavis/project,procedural-map-v005 (Pillow/numpy + v004 terrain base),2026-08-07,owned,none,false,,,,,VIS-MAP-001-master-ai-v004,v005 runtime layer package; received only
VIS-MAP-001-rulid_village_occlusion_v005-v005,VIS-MAP-001,received,inbox/visual/world/VIS-MAP-001_rulid_village_occlusion_v005.png,,93e1e857a92154ec22c8805d63c6da126fe1e4ffa0a3ee86267b267b7cb26ca4,Mavis/project,procedural-map-v005 (Pillow/numpy + v004 terrain base),2026-08-07,owned,none,false,,,,,VIS-MAP-001-master-ai-v004,v005 runtime layer package; received only
VIS-MAP-001-rulid_village_foreground_v005-v005,VIS-MAP-001,received,inbox/visual/world/VIS-MAP-001_rulid_village_foreground_v005.png,,7fc8576aba2de5284e61efabcb4869635739f4f538c7cc67196b2eb0b0a950a4,Mavis/project,procedural-map-v005 (Pillow/numpy + v004 terrain base),2026-08-07,owned,none,false,,,,,VIS-MAP-001-master-ai-v004,v005 runtime layer package; received only
VIS-MAP-001-rulid_village_lighting_v005-v005,VIS-MAP-001,received,inbox/visual/world/VIS-MAP-001_rulid_village_lighting_v005.png,,1c44641f97c25871062ac7e247d7f1fb63d5f497da7f9328622d23b6431dec8a,Mavis/project,procedural-map-v005 (Pillow/numpy + v004 terrain base),2026-08-07,owned,none,false,,,,,VIS-MAP-001-master-ai-v004,v005 runtime layer package; received only
VIS-MAP-001-rulid_village_weather_v005-v005,VIS-MAP-001,received,inbox/visual/world/VIS-MAP-001_rulid_village_weather_v005.png,,9543760f4be616e49ee2e1baac785c6a9f8ae55107ced650b05fba09984b2140,Mavis/project,procedural-map-v005 (Pillow/numpy + v004 terrain base),2026-08-07,owned,none,false,,,,,VIS-MAP-001-master-ai-v004,v005 runtime layer package; received only
VIS-MAP-001-rulid_village_collision_v005-v005,VIS-MAP-001,received,inbox/visual/world/VIS-MAP-001_rulid_village_collision_v005.png,,e97a9609dac25dd1a9893ebf4e760de9422466d500b854e722a435f82606dfe3,Mavis/project,procedural-map-v005 (Pillow/numpy + v004 terrain base),2026-08-07,owned,none,false,,,,,VIS-MAP-001-master-ai-v004,v005 runtime layer package; received only
VIS-MAP-001-rulid_village_walkable_v005-v005,VIS-MAP-001,received,inbox/visual/world/VIS-MAP-001_rulid_village_walkable_v005.png,,b6df3bc05fd544f0d65b471089b2e9bf5a0031f12e3a80c983c19545085a94e8,Mavis/project,procedural-map-v005 (Pillow/numpy + v004 terrain base),2026-08-07,owned,none,false,,,,,VIS-MAP-001-master-ai-v004,v005 runtime layer package; received only
VIS-MAP-001-rulid_village_interaction_v005-v005,VIS-MAP-001,received,inbox/visual/world/VIS-MAP-001_rulid_village_interaction_v005.json,,95505e8ec4b7a80ce8a6d1c24e72f75cecb9d34baf39c762ebff4b354e0837a1,Mavis/project,procedural-map-v005 (Pillow/numpy + v004 terrain base),2026-08-07,owned,none,false,,,,,VIS-MAP-001-master-ai-v004,v005 runtime layer package; received only
VIS-MAP-001-map_v005-v005,VIS-MAP-001,received,inbox/visual/world/VIS-MAP-001_map_v005.json,,0660f32b0fe0d7886d194c470fad5ecb4d931a995fefcaf4d0470eac54d7001f,Mavis/project,procedural-map-v005 (Pillow/numpy + v004 terrain base),2026-08-07,owned,none,false,,,,,VIS-MAP-001-master-ai-v004,v005 runtime layer package; received only
