asset_id,request_id,status,source_file,runtime_file,sha256,creator,tool_model,created_at,license,source_url,attribution_required,attribution_text,approved_by,approved_at,integrated_at,replaces_asset_id,notes
VIS-VFX-001_UW-UPGRADE-1.0_clue-pulse_sheet,VIS-VFX-001,received,materials/inbox/visual/vfx/VIS-VFX-001_UW-UPGRADE-1.0_clue-pulse_sheet.png,,d16bfc61631b50bcc0206c8031d699d97f509da93ec9d42eca7f00f172e1e9c6,WorkBuddy AI Asset Agent,Python PIL,2026-08-07T18:20:00+08:00,Project original - UW 0.5.0-pre-capture,Procedurally generated,false,,,,,,VFX: VIS-VFX-001_UW-UPGRADE-1.0_clue-pulse_sheet.png
VIS-VFX-001_UW-UPGRADE-1.0_clue-pulse_fallback,VIS-VFX-001,received,materials/inbox/visual/vfx/VIS-VFX-001_UW-UPGRADE-1.0_clue-pulse_fallback.png,,6cad332f931b927a1acd6f46cd4cc638e550f5eb8cd9b41e16ec2e10063f8971,WorkBuddy AI Asset Agent,Python PIL,2026-08-07T18:20:00+08:00,Project original - UW 0.5.0-pre-capture,Procedurally generated,false,,,,,,VFX: VIS-VFX-001_UW-UPGRADE-1.0_clue-pulse_fallback.png
VIS-VFX-001_UW-UPGRADE-1.0_clue-pulse_reduced,VIS-VFX-001,received,materials/inbox/visual/vfx/VIS-VFX-001_UW-UPGRADE-1.0_clue-pulse_reduced.png,,fcfc4dae14b64257e046bf50ef8d726e14bd4514e4ee3c743429ed3ca7e13484,WorkBuddy AI Asset Agent,Python PIL,2026-08-07T18:20:00+08:00,Project original - UW 0.5.0-pre-capture,Procedurally generated,false,,,,,,VFX: VIS-VFX-001_UW-UPGRADE-1.0_clue-pulse_reduced.png
VIS-VFX-001_UW-UPGRADE-1.0_sacred-ink_sheet,VIS-VFX-001,received,materials/inbox/visual/vfx/VIS-VFX-001_UW-UPGRADE-1.0_sacred-ink_sheet.png,,5ad5708ffcf78093672da305b103ab21f23061474804b5c7b758d0cc439a0880,WorkBuddy AI Asset Agent,Python PIL,2026-08-07T18:20:00+08:00,Project original - UW 0.5.0-pre-capture,Procedurally generated,false,,,,,,VFX: VIS-VFX-001_UW-UPGRADE-1.0_sacred-ink_sheet.png
VIS-VFX-001_UW-UPGRADE-1.0_sacred-ink_fallback,VIS-VFX-001,received,materials/inbox/visual/vfx/VIS-VFX-001_UW-UPGRADE-1.0_sacred-ink_fallback.png,,3b86f83a233898d97369bd4673074f39b19262ad04f019f399c3f5f36529b908,WorkBuddy AI Asset Agent,Python PIL,2026-08-07T18:20:00+08:00,Project original - UW 0.5.0-pre-capture,Procedurally generated,false,,,,,,VFX: VIS-VFX-001_UW-UPGRADE-1.0_sacred-ink_fallback.png
VIS-VFX-001_UW-UPGRADE-1.0_sacred-ink_reduced,VIS-VFX-001,received,materials/inbox/visual/vfx/VIS-VFX-001_UW-UPGRADE-1.0_sacred-ink_reduced.png,,11a15787c5908f02eb3405861dbf78d66f7687af3f41db2c0b9261d83ba65c15,WorkBuddy AI Asset Agent,Python PIL,2026-08-07T18:20:00+08:00,Project original - UW 0.5.0-pre-capture,Procedurally generated,false,,,,,,VFX: VIS-VFX-001_UW-UPGRADE-1.0_sacred-ink_reduced.png
VIS-VFX-001_UW-UPGRADE-1.0_boundary-ripple_sheet,VIS-VFX-001,received,materials/inbox/visual/vfx/VIS-VFX-001_UW-UPGRADE-1.0_boundary-ripple_sheet.png,,b699468a030d314389c9e8fd232496d259602aaa01a40c98b067b64c2ed424ae,WorkBuddy AI Asset Agent,Python PIL,2026-08-07T18:20:00+08:00,Project original - UW 0.5.0-pre-capture,Procedurally generated,false,,,,,,VFX: VIS-VFX-001_UW-UPGRADE-1.0_boundary-ripple_sheet.png
VIS-VFX-001_UW-UPGRADE-1.0_boundary-ripple_fallback,VIS-VFX-001,received,materials/inbox/visual/vfx/VIS-VFX-001_UW-UPGRADE-1.0_boundary-ripple_fallback.png,,6935c8975a8f8523cef00283b940727144c94fd8875d1dd6c440bbcbc79c940f,WorkBuddy AI Asset Agent,Python PIL,2026-08-07T18:20:00+08:00,Project original - UW 0.5.0-pre-capture,Procedurally generated,false,,,,,,VFX: VIS-VFX-001_UW-UPGRADE-1.0_boundary-ripple_fallback.png
VIS-VFX-001_UW-UPGRADE-1.0_boundary-ripple_reduced,VIS-VFX-001,received,materials/inbox/visual/vfx/VIS-VFX-001_UW-UPGRADE-1.0_boundary-ripple_reduced.png,,5338bd1e6fa0089ec499978dcb22ecf94e53e5f114c2e408fb3db713300fe4a0,WorkBuddy AI Asset Agent,Python PIL,2026-08-07T18:20:00+08:00,Project original - UW 0.5.0-pre-capture,Procedurally generated,false,,,,,,VFX: VIS-VFX-001_UW-UPGRADE-1.0_boundary-ripple_reduced.png
VIS-VFX-001_UW-UPGRADE-1.0_relationship-warmth_sheet,VIS-VFX-001,received,materials/inbox/visual/vfx/VIS-VFX-001_UW-UPGRADE-1.0_relationship-warmth_sheet.png,,fb95fcaf786e6046c9dab91397b0e6a48b2276b13a004961413c974eb576ebae,WorkBuddy AI Asset Agent,Python PIL,2026-08-07T18:20:00+08:00,Project original - UW 0.5.0-pre-capture,Procedurally generated,false,,,,,,VFX: VIS-VFX-001_UW-UPGRADE-1.0_relationship-warmth_sheet.png
VIS-VFX-001_UW-UPGRADE-1.0_relationship-warmth_fallback,VIS-VFX-001,received,materials/inbox/visual/vfx/VIS-VFX-001_UW-UPGRADE-1.0_relationship-warmth_fallback.png,,05855787d078728a0d1a5c009936ef1344204416512131e3ffb9654968463c5b,WorkBuddy AI Asset Agent,Python PIL,2026-08-07T18:20:00+08:00,Project original - UW 0.5.0-pre-capture,Procedurally generated,false,,,,,,VFX: VIS-VFX-001_UW-UPGRADE-1.0_relationship-warmth_fallback.png
VIS-VFX-001_UW-UPGRADE-1.0_relationship-warmth_reduced,VIS-VFX-001,received,materials/inbox/visual/vfx/VIS-VFX-001_UW-UPGRADE-1.0_relationship-warmth_reduced.png,,fec2b253348836d1ed4871e02282cfe4270ca6a47e4c45304d1e0d51d3eec223,WorkBuddy AI Asset Agent,Python PIL,2026-08-07T18:20:00+08:00,Project original - UW 0.5.0-pre-capture,Procedurally generated,false,,,,,,VFX: VIS-VFX-001_UW-UPGRADE-1.0_relationship-warmth_reduced.png
VIS-VFX-001_UW-UPGRADE-1.0_reward-spark_sheet,VIS-VFX-001,received,materials/inbox/visual/vfx/VIS-VFX-001_UW-UPGRADE-1.0_reward-spark_sheet.png,,2fe0585dc7745c3f026f68d8182f89535f1210339afceacda42cf6d15b95ea08,WorkBuddy AI Asset Agent,Python PIL,2026-08-07T18:20:00+08:00,Project original - UW 0.5.0-pre-capture,Procedurally generated,false,,,,,,VFX: VIS-VFX-001_UW-UPGRADE-1.0_reward-spark_sheet.png
VIS-VFX-001_UW-UPGRADE-1.0_reward-spark_fallback,VIS-VFX-001,received,materials/inbox/visual/vfx/VIS-VFX-001_UW-UPGRADE-1.0_reward-spark_fallback.png,,5db26b9e3b25ae83b152374846f3cba9a0fecbdcf2d4366d88b2082f038e8541,WorkBuddy AI Asset Agent,Python PIL,2026-08-07T18:20:00+08:00,Project original - UW 0.5.0-pre-capture,Procedurally generated,false,,,,,,VFX: VIS-VFX-001_UW-UPGRADE-1.0_reward-spark_fallback.png
VIS-VFX-001_UW-UPGRADE-1.0_reward-spark_reduced,VIS-VFX-001,received,materials/inbox/visual/vfx/VIS-VFX-001_UW-UPGRADE-1.0_reward-spark_reduced.png,,da5beabac3e4b92c8f88100f5e55023aba86847c9920f766c281dde768d37164,WorkBuddy AI Asset Agent,Python PIL,2026-08-07T18:20:00+08:00,Project original - UW 0.5.0-pre-capture,Procedurally generated,false,,,,,,VFX: VIS-VFX-001_UW-UPGRADE-1.0_reward-spark_reduced.png
VIS-VFX-001_UW-UPGRADE-1.0_capture-silence_sheet,VIS-VFX-001,received,materials/inbox/visual/vfx/VIS-VFX-001_UW-UPGRADE-1.0_capture-silence_sheet.png,,6715f2f84ce83e7681d102d5c935ad6ad443b207129390aecd003ff0584a093b,WorkBuddy AI Asset Agent,Python PIL,2026-08-07T18:20:00+08:00,Project original - UW 0.5.0-pre-capture,Procedurally generated,false,,,,,,VFX: VIS-VFX-001_UW-UPGRADE-1.0_capture-silence_sheet.png
VIS-VFX-001_UW-UPGRADE-1.0_capture-silence_fallback,VIS-VFX-001,received,materials/inbox/visual/vfx/VIS-VFX-001_UW-UPGRADE-1.0_capture-silence_fallback.png,,fefa2221c0434efb6677d1b35638f61bde1535f16f38464a40f7d6da3f9bbcfa,WorkBuddy AI Asset Agent,Python PIL,2026-08-07T18:20:00+08:00,Project original - UW 0.5.0-pre-capture,Procedurally generated,false,,,,,,VFX: VIS-VFX-001_UW-UPGRADE-1.0_capture-silence_fallback.png
VIS-VFX-001_UW-UPGRADE-1.0_capture-silence_reduced,VIS-VFX-001,received,materials/inbox/visual/vfx/VIS-VFX-001_UW-UPGRADE-1.0_capture-silence_reduced.png,,48316ee2aebeb88ccc076599f74266a358cd1fa3301d114e99ae21f012b23d48,WorkBuddy AI Asset Agent,Python PIL,2026-08-07T18:20:00+08:00,Project original - UW 0.5.0-pre-capture,Procedurally generated,false,,,,,,VFX: VIS-VFX-001_UW-UPGRADE-1.0_capture-silence_reduced.png
VIS-VFX-001_UW-UPGRADE-1.0_metadata,VIS-VFX-001,received,materials/inbox/visual/vfx/VIS-VFX-001_UW-UPGRADE-1.0_metadata.json,,0a39bed91848b0fc9e77406ca8286580b1c4a3c5d06fa718819dc7825fa0b8cb,WorkBuddy AI Asset Agent,Python PIL,2026-08-07T18:20:00+08:00,Project original - UW 0.5.0-pre-capture,Procedurally generated,false,,,,,,VFX: VIS-VFX-001_UW-UPGRADE-1.0_metadata.json
