asset_id,request_id,status,source_file,runtime_file,sha256,creator,tool_model,created_at,license,source_url,attribution_required,attribution_text,approved_by,approved_at,integrated_at,replaces_asset_id,notes
VIS-MAP-001-terrain_tile_atlas-v006,VIS-MAP-001,received,inbox/visual/world/VIS-MAP-001_terrain_tile_atlas_v006.png,,b14c43e1ee02e422d61a57c12f01c10ba751856dec68f6b66e9d3a9e16082c5d,project-owned,procedural-tile-atlas-v006 (Python 3.13.12 + Pillow 12.3.0),2026-08-07,owned,none,false,,,,,VIS-MAP-001-terrain_tile_atlas-v005,v006 terrain_tile_atlas; tile size 28x28 (tile) or 56-112 (prop) or 3024x1792 (overlay/collision); received only
VIS-MAP-001-water_tile_atlas-v006,VIS-MAP-001,received,inbox/visual/world/VIS-MAP-001_water_tile_atlas_v006.png,,f426d80ff0204112e45508b83ba81df08a350453d0e738ce8d70315eda1a7233,project-owned,procedural-tile-atlas-v006 (Python 3.13.12 + Pillow 12.3.0),2026-08-07,owned,none,false,,,,,VIS-MAP-001-water_tile_atlas-v005,v006 water_tile_atlas; tile size 28x28 (tile) or 56-112 (prop) or 3024x1792 (overlay/collision); received only
VIS-MAP-001-road_tile_atlas-v006,VIS-MAP-001,received,inbox/visual/world/VIS-MAP-001_road_tile_atlas_v006.png,,82fcd52a6f7c5c2496b1e45778cee79c1dd46b428c90a9c1c3931e63d865aace,project-owned,procedural-tile-atlas-v006 (Python 3.13.12 + Pillow 12.3.0),2026-08-07,owned,none,false,,,,,VIS-MAP-001-road_tile_atlas-v005,v006 road_tile_atlas; tile size 28x28 (tile) or 56-112 (prop) or 3024x1792 (overlay/collision); received only
VIS-MAP-001-vegetation_props_atlas-v006,VIS-MAP-001,received,inbox/visual/world/VIS-MAP-001_vegetation_props_atlas_v006.png,,748cdf692855eedf802bb9b67e0a425a5d94c181bdace32094f4f1487a71242d,project-owned,procedural-tile-atlas-v006 (Python 3.13.12 + Pillow 12.3.0),2026-08-07,owned,none,false,,,,,VIS-MAP-001-vegetation_props_atlas-v005,v006 vegetation_props_atlas; tile size 28x28 (tile) or 56-112 (prop) or 3024x1792 (overlay/collision); received only
VIS-MAP-001-buildings_props_atlas-v006,VIS-MAP-001,received,inbox/visual/world/VIS-MAP-001_buildings_props_atlas_v006.png,,4f1689b128aaf585ce0633086363e0b2af562184e8622fdb2de66193b134b65e,project-owned,procedural-tile-atlas-v006 (Python 3.13.12 + Pillow 12.3.0),2026-08-07,owned,none,false,,,,,VIS-MAP-001-buildings_props_atlas-v005,v006 buildings_props_atlas; tile size 28x28 (tile) or 56-112 (prop) or 3024x1792 (overlay/collision); received only
VIS-MAP-001-occlusion_layer-v006,VIS-MAP-001,received,inbox/visual/world/VIS-MAP-001_occlusion_layer_v006.png,,5f1efb7d4c326a7d22773d8e90967a3669ea66f7c04cbcd9db1a31dacad4151d,project-owned,procedural-tile-atlas-v006 (Python 3.13.12 + Pillow 12.3.0),2026-08-07,owned,none,false,,,,,VIS-MAP-001-occlusion_layer-v005,v006 occlusion_layer; tile size 28x28 (tile) or 56-112 (prop) or 3024x1792 (overlay/collision); received only
VIS-MAP-001-foreground_layer-v006,VIS-MAP-001,received,inbox/visual/world/VIS-MAP-001_foreground_layer_v006.png,,ebb21421ddd0155d0538f9cdac8f94e371a1ddcb4c73843a77eb7586207a5193,project-owned,procedural-tile-atlas-v006 (Python 3.13.12 + Pillow 12.3.0),2026-08-07,owned,none,false,,,,,VIS-MAP-001-foreground_layer-v005,v006 foreground_layer; tile size 28x28 (tile) or 56-112 (prop) or 3024x1792 (overlay/collision); received only
VIS-MAP-001-lighting_layer-v006,VIS-MAP-001,received,inbox/visual/world/VIS-MAP-001_lighting_layer_v006.png,,62d1fc1df9367eb01673d2e087bc7d025e15d2d9e108a0cead6b6228d927e134,project-owned,procedural-tile-atlas-v006 (Python 3.13.12 + Pillow 12.3.0),2026-08-07,owned,none,false,,,,,VIS-MAP-001-lighting_layer-v005,v006 lighting_layer; tile size 28x28 (tile) or 56-112 (prop) or 3024x1792 (overlay/collision); received only
VIS-MAP-001-weather_layer-v006,VIS-MAP-001,received,inbox/visual/world/VIS-MAP-001_weather_layer_v006.png,,822353cfc391adbaf557d28f175a697739143460039562260140dc748da0827d,project-owned,procedural-tile-atlas-v006 (Python 3.13.12 + Pillow 12.3.0),2026-08-07,owned,none,false,,,,,VIS-MAP-001-weather_layer-v005,v006 weather_layer; tile size 28x28 (tile) or 56-112 (prop) or 3024x1792 (overlay/collision); received only
VIS-MAP-001-collision-v006,VIS-MAP-001,received,inbox/visual/world/VIS-MAP-001_collision_v006.png,,27a1d79df351c1b5af4c7dc6c93efdca3e7dc75aed9b42547411169f6c516889,project-owned,procedural-tile-atlas-v006 (Python 3.13.12 + Pillow 12.3.0),2026-08-07,owned,none,false,,,,,VIS-MAP-001-collision-v005,v006 collision; tile size 28x28 (tile) or 56-112 (prop) or 3024x1792 (overlay/collision); received only
VIS-MAP-001-walkable-v006,VIS-MAP-001,received,inbox/visual/world/VIS-MAP-001_walkable_v006.png,,7ee2b66cf68d44b7da8ec5f40dc3efb0ae473c88826807f30f05a001c5f9a8b1,project-owned,procedural-tile-atlas-v006 (Python 3.13.12 + Pillow 12.3.0),2026-08-07,owned,none,false,,,,,VIS-MAP-001-walkable-v005,v006 walkable; tile size 28x28 (tile) or 56-112 (prop) or 3024x1792 (overlay/collision); received only
