fragment_id,date_or_source,credibility,visibility,raw_text,implied_contradiction,linked_characters,trigger_event,notes
NAR-LORE-001-001,元历117年·巨神树伐木场年账,high,公开记录,「巨神树伐木场年账：基加斯西达北侧斧痕平均深度，本年与前三年登记无显著差异；树围、树冠高度与去岁秋测一致。全村天职在册伐木手未见缺员，例行记录完整，准予归档。」,账册声称无显著差异，但同册后页另夹有一张现场草记，写着北侧斧痕忽然加深。,尤吉欧,在巨神树伐木场核对年账后可触发；若带现场测量结果回查，账册数字对不上。,可反证——现场复测斧痕深度与年账登记不符，账册数据可被推翻。
NAR-LORE-001-002,元历117年·村务通告（水源）,high,公开记录,「村务通告：水渠冬季清淤已于前日完成。水源例行检测记录在案——入口井水澄澈、无异味、无沉淀，检测方法与历年相同，村民可放心取用，无需另行上报。」,通告称无异味，但同一份检测附表单日另记入口水样微涩。,赛尔卡,溪边或水渠调查时对照往年记录。,可反证——第二月水源复检若检出涩味，则通告失真。
NAR-LORE-001-003,元历115年·天职登记册,high,公开记录,「天职登记册：伐木手任期以伐木进度为准，届满须由村务长核验并更名。本村现役伐木手二人，前任一人已于上季退任。退任缘由：年事已高，准予告老。」,退任缘由写得简略，与前任伐木手实际离开村子的时间线对不上；页边另有疑点，见 NAR-LORE-001-014。,尤吉欧、加斯夫特,尤吉欧提及家族或前任伐木手时对照此册。,可反证——前任身份与去向可被口述与迁移记录反证。
NAR-LORE-001-004,元历112年·北境例行巡查报告（归档）,high,公开记录,「教会书库归档：北境例行巡查报告，自先年起始每年两报，格式固定。本报告确认北门外道路、路标、撤退点完好，未见异常，符合禁忌目录全部条目，建议继续维持现行封锁。」,报告纸张与墨迹比归档年份新，这份例行报告像是事后补写回档的。,加利塔、加斯夫特,书库阅读时留意纸张年代；对照墨迹深浅可查。,可反证——纸张测年与报告落款矛盾，报告补写痕迹明显。
NAR-LORE-001-005,元历110年·北境异常记录（孤本）,medium,公开记录,「北境异常记录（教会书库孤本）：鸟声消失现象，先年冬日记为一次，起因未明，未再更新。本卷为存世唯一记载，编号置顶，借阅须登记，请勿外传。」,孤本自称唯一记载，但同柜索引卡显示同题多卷曾被借出且未归还。,记录员,Day1 书库线索；对照索引卡后矛盾浮现。,可反证——若寻回被抽走的卷册，孤本唯一说被推翻。
NAR-LORE-001-006,元历109年·巨神树伐木工作手册,high,公开记录,「巨神树伐木工作手册：基加斯西达树皮外层为沉积层，属正常剥落，计入伐木量。树皮内侧浅色一层质地与木质不同，不属砍伐目标，伐木手不得越界处理，违者按村务规程记录在案。」,手册说内层不属砍伐目标，但旧版手册残页建议优先处理该层，两版相互矛盾。,尤吉欧,巨神树树皮调查时对照新旧两版手册。,可反证——树皮内侧采样结果与手册描述不符。
NAR-LORE-001-007,年代不明·北境边界记录第二页,medium,被涂改,「北境边界记录（第二页）：北门外侧〔墨渍覆盖三行〕……风停期间〔整句被刮去〕……。页尾仅余四字：不许记录。笔迹与正文不同。此页夹于第十四页与第十五页之间。」,被刮去的句子恰是 Day1 玩家在书库找到的那页内容，它被从别处抹掉后又出现在书里。,记录员、爱丽丝,Day1 书库「不该存在的北境记录」事件。,可反证——Day2 静默线现场对照后，涂改处所述现象可复现。
NAR-LORE-001-008,元历116年冬·水源记录（水渠段）,medium,被涂改,「水源记录（水渠段·冬）：去年〔数字被墨点涂去〕……井水清〔句尾被污渍盖住〕……。涂去处墨色深且新，明显晚于正文，非同一时期所写。」,被涂掉的数字与溪边老人记忆中的那个冬天对不上。,赛尔卡,溪边水源调查；比对老人口述（NAR-LORE-001-019）。,可反证——若在另一份抄本找到原数，涂改动机即暴露。
NAR-LORE-001-009,元历107年·伐木手任期簿,low,被涂改,「伐木手任期簿：前任伐木手〔姓名被刮去〕……任期〔此处书页被撕去一角〕……。撕口下方残留半个字，笔锋收向左上，似为：北。」,撕页处残留的北字，与前任已退的公开说法无法吻合。,尤吉欧,尤吉欧家族史调查时查验任期簿。,可反证——撕页下残留字与迁移登记（NAR-LORE-001-022）互相印证。
NAR-LORE-001-010,元历108年·教会日课抄录,unknown,被涂改,「教会日课抄录：晨祷〔字迹淡去〕……祈句〔被水渍浸没〕……。页角有一行字被反复描写多遍，墨痕重叠成深色团块，已看不清原文。」,被反复描写的那行不是祈句，而更像一处地名或人名。,爱丽丝,书库整理时发现；赛尔卡可协助辨读。,原文内容不明，但反复涂抹本身即是线索。
