bark_id,location,time_of_day,weather,npc_or_state,story_phase,text,voice_cue
NAR-BARK-001-daily-001,北门,晨,晴,,day1_morning,北门外的路标轻轻响。,环境声：风过木檐的轻响
NAR-BARK-001-daily-002,北门,晨,北风,加利塔,day1_morning,风向偏了。路标没被人动过。,加利塔：逐项检查，语气平
NAR-BARK-001-daily-003,北门,午,晴,,day1_afternoon,门缝外草木静止。,环境声：安静，无鸟
NAR-BARK-001-abn-004,北门,午,北风,记录员,day1_afternoon,风声断了一瞬。两息。,记录员：顿一拍再报数字
NAR-BARK-001-daily-005,北门,暮,晴,,day1_night,暮色里门闩的影子拉长。,环境声：光线渐暗
NAR-BARK-001-daily-006,北门,夜,晴,加利塔,day1_night,把火压低，看得更远。,加利塔：低声，像在教习惯
NAR-BARK-001-abn-007,北门,夜,北风,加利塔,day2_night,今夜北风断了两次。记下了。,加利塔：句末放慢
NAR-BARK-001-abn-008,北门,午,雾,,day2_afternoon,雾把边界线吞了一半。,环境声：雾中朦胧
NAR-BARK-001-tense-009,北门,晨,雨,爱丽丝,day2_morning,先确认撤退点，再谈看不看。,爱丽丝：先条件后结论
NAR-BARK-001-warm-010,北门,午,晴,尤吉欧,day2_afternoon,你负责记录，我记住回来的路。,尤吉欧：语气带笑
NAR-BARK-001-tense-011,北门,暮,雨,记录员,day2_night,先退到石缝。回头再看。,记录员：短促，无语气词
NAR-BARK-001-post-012,北门,夜,雾,加利塔,day3_night,昨晚那阵风，不是普通的风。,加利塔：压低，像在回忆
NAR-BARK-001-warm-013,北门,晨,北风,尤吉欧,day3_morning,听不见鸟声就喊，我听见就答。,尤吉欧：认真但放软
NAR-BARK-001-tense-014,北门,午,晴,爱丽丝,day3_afternoon,那页记录你抄全了？一字不落？,爱丽丝：问句不带攻击
NAR-BARK-001-post-015,北门,暮,晴,记录员,day3_night,断点在北侧十二步。复核过了。,记录员：平，只报数据
NAR-BARK-001-daily-016,北门,夜,雨,,day1_night,雨顺着门檐滴成线。,环境声：雨声为主
NAR-BARK-001-abn-017,北门,晨,雾,,day2_morning,雾里听不见鸟，只有风。,环境声：雾中无鸟
NAR-BARK-001-post-018,北门,午,北风,爱丽丝,day3_afternoon,这一次，三个人都看见了。,爱丽丝：声调比平时轻
NAR-BARK-001-daily-019,广场,晨,晴,,day1_morning,水渠边有人打水，水声清亮。,环境声：水声与劳作声
NAR-BARK-001-daily-020,广场,晨,雨,赛尔卡,day1_morning,晨雨。等会儿帮书库透透气。,赛尔卡：句短，带关心
NAR-BARK-001-daily-021,广场,午,晴,,day1_afternoon,巡查板上钉着一排新记录。,环境声：纸页被风吹动
NAR-BARK-001-abn-022,广场,午,北风,加斯夫特,day1_afternoon,风向变了，年轻人反而高兴。,加斯夫特：缓慢，尾音平
NAR-BARK-001-daily-023,广场,暮,晴,爱丽丝,day1_night,晚餐前把今天的记录核对完。,爱丽丝：像在交代日程
NAR-BARK-001-daily-024,广场,夜,晴,,day1_night,广场上只剩下灯笼和虫声。,环境声：夜晚收束
NAR-BARK-001-abn-025,广场,午,雨,,day2_afternoon,雨停的瞬间，广场安静了一拍。,环境声：声音缺口
NAR-BARK-001-warm-026,广场,午,晴,尤吉欧,day2_afternoon,你昨天那份记录，我看了两遍。,尤吉欧：先笑再说
NAR-BARK-001-tense-027,广场,暮,雨,加利塔,day2_night,有人在广场问北边的事，我压下了。,加利塔：直白，不解释
NAR-BARK-001-warm-028,广场,暮,晴,赛尔卡,day2_night,姐姐今天笑得比昨天多，你注意过吗？,赛尔卡：轻声试探
NAR-BARK-001-abn-029,广场,晨,雾,,day2_morning,雾里有人在数门外的路标。,环境声：人影模糊
NAR-BARK-001-tense-030,广场,午,晴,爱丽丝,day3_afternoon,你打算让谁在你回不来的时候去找你？,爱丽丝：完整句，无责备语气
NAR-BARK-001-post-031,广场,暮,晴,加斯夫特,day3_night,你们看见的，我会让村里也看见。,加斯夫特：慢，称量词句
NAR-BARK-001-post-032,广场,夜,北风,,day3_night,夜风把巡查板吹得哗哗响。,环境声：木板碰撞
NAR-BARK-001-daily-033,广场,晨,晴,,day1_morning,村道边有人给麦田放水。,环境声：水渠声远
NAR-BARK-001-daily-034,广场,午,北风,,day1_afternoon,北风把麦穗压向同一个方向。,环境声：风过麦田
NAR-BARK-001-daily-035,广场,暮,雨,,day1_night,收工的脚步声踩着雨点回村。,环境声：脚步与雨声
