asset_id,request_id,status,source_file,runtime_file,sha256,creator,tool_model,created_at,license,source_url,attribution_required,attribution_text,approved_by,approved_at,integrated_at,replaces_asset_id,notes
VIS-MAP-001-terrain-water-v003,VIS-MAP-001,received,visual/world/VIS-MAP-001_rulid_village_terrain_v003.png,,1122a3129cb9dc395eab58e8f93366882529c420d8a31ad5767502e9971befb2,Mavis,"procedural-map-v003 (Python Pillow 11.3.0 + numpy 2.3.5) reading data/world/world_map.json (108x64 tile grid, 28px/tile)",2026-08-07,owned,none,false,,,,,VIS-MAP-001-v002,111273 bytes; VIS-MAP-001_rulid_village_terrain_v003.png
VIS-MAP-001-roads-v003,VIS-MAP-001,received,visual/world/VIS-MAP-001_rulid_village_roads_v003.png,,9e65bd3826051c73804508227cb3731885f137c232ae5acc7770535326bac31a,Mavis,"procedural-map-v003 (Python Pillow 11.3.0 + numpy 2.3.5) reading data/world/world_map.json (108x64 tile grid, 28px/tile)",2026-08-07,owned,none,false,,,,,VIS-MAP-001-v002,42572 bytes; VIS-MAP-001_rulid_village_roads_v003.png
VIS-MAP-001-ground-props-v003,VIS-MAP-001,received,visual/world/VIS-MAP-001_rulid_village_ground_props_v003.png,,7b96fd0700c5262f742b1990c7469684953ab6fe642e2c2358b905dd0191651f,Mavis,"procedural-map-v003 (Python Pillow 11.3.0 + numpy 2.3.5) reading data/world/world_map.json (108x64 tile grid, 28px/tile)",2026-08-07,owned,none,false,,,,,VIS-MAP-001-v002,52271 bytes; VIS-MAP-001_rulid_village_ground_props_v003.png
VIS-MAP-001-buildings-v003,VIS-MAP-001,received,visual/world/VIS-MAP-001_rulid_village_buildings_v003.png,,2ce18248498ac9f0a4275d1e11529e6644f4def79e744c200cdf822551cb0e86,Mavis,"procedural-map-v003 (Python Pillow 11.3.0 + numpy 2.3.5) reading data/world/world_map.json (108x64 tile grid, 28px/tile)",2026-08-07,owned,none,false,,,,,VIS-MAP-001-v002,23334 bytes; VIS-MAP-001_rulid_village_buildings_v003.png
VIS-MAP-001-vegetation-v003,VIS-MAP-001,received,visual/world/VIS-MAP-001_rulid_village_vegetation_v003.png,,b712bc8f42453213aee178cabddff60fc7a957cca6ce62d094c2ce8b22c00902,Mavis,"procedural-map-v003 (Python Pillow 11.3.0 + numpy 2.3.5) reading data/world/world_map.json (108x64 tile grid, 28px/tile)",2026-08-07,owned,none,false,,,,,VIS-MAP-001-v002,131756 bytes; VIS-MAP-001_rulid_village_vegetation_v003.png
VIS-MAP-001-occluders-v003,VIS-MAP-001,received,visual/world/VIS-MAP-001_rulid_village_occluders_v003.png,,9c4d0cf3222f013c191bf6f788e600c3a1107fef46efe18fe4856403fd8a307f,Mavis,"procedural-map-v003 (Python Pillow 11.3.0 + numpy 2.3.5) reading data/world/world_map.json (108x64 tile grid, 28px/tile)",2026-08-07,owned,none,false,,,,,VIS-MAP-001-v002,25953 bytes; VIS-MAP-001_rulid_village_occluders_v003.png
VIS-MAP-001-foreground-v003,VIS-MAP-001,received,visual/world/VIS-MAP-001_rulid_village_foreground_v003.png,,adf05d15b9948474ccf1bec8152f8a9b815f334701245c3b334945fa33fa4ad2,Mavis,"procedural-map-v003 (Python Pillow 11.3.0 + numpy 2.3.5) reading data/world/world_map.json (108x64 tile grid, 28px/tile)",2026-08-07,owned,none,false,,,,,VIS-MAP-001-v002,22848 bytes; VIS-MAP-001_rulid_village_foreground_v003.png
VIS-MAP-001-lighting-v003,VIS-MAP-001,received,visual/world/VIS-MAP-001_rulid_village_lighting_v003.png,,28fa861e675a27214dce2c9e1783efb8af162e6991ff7c9226b948b85c63d120,Mavis,"procedural-map-v003 (Python Pillow 11.3.0 + numpy 2.3.5) reading data/world/world_map.json (108x64 tile grid, 28px/tile)",2026-08-07,owned,none,false,,,,,VIS-MAP-001-v002,210577 bytes; VIS-MAP-001_rulid_village_lighting_v003.png
VIS-MAP-001-weather-v003,VIS-MAP-001,received,visual/world/VIS-MAP-001_rulid_village_weather_v003.png,,a911aa8b1854c7920f4495d608f2a220c9a5bafec2a0e504b7dc3da69817f3bc,Mavis,"procedural-map-v003 (Python Pillow 11.3.0 + numpy 2.3.5) reading data/world/world_map.json (108x64 tile grid, 28px/tile)",2026-08-07,owned,none,false,,,,,VIS-MAP-001-v002,30903 bytes; VIS-MAP-001_rulid_village_weather_v003.png
VIS-MAP-001-collision-v003,VIS-MAP-001,received,visual/world/VIS-MAP-001_rulid_village_collision_v003.png,,160c999e432cfb1db565313481028f528c43f39f24f63c10ec2ee12dfd1d7137,Mavis,"procedural-map-v003 (Python Pillow 11.3.0 + numpy 2.3.5) reading data/world/world_map.json (108x64 tile grid, 28px/tile)",2026-08-07,owned,none,false,,,,,VIS-MAP-001-v002,26228 bytes; VIS-MAP-001_rulid_village_collision_v003.png
VIS-MAP-001-walkable-v003,VIS-MAP-001,received,visual/world/VIS-MAP-001_rulid_village_walkable_v003.png,,2dc7471bef951a1f5933162f0a5cf01aaa8fe1bc1d2ee1b7bcf5a3cf3438cf96,Mavis,"procedural-map-v003 (Python Pillow 11.3.0 + numpy 2.3.5) reading data/world/world_map.json (108x64 tile grid, 28px/tile)",2026-08-07,owned,none,false,,,,,VIS-MAP-001-v002,25983 bytes; VIS-MAP-001_rulid_village_walkable_v003.png
VIS-MAP-001-occlusion_depth-v003,VIS-MAP-001,received,visual/world/VIS-MAP-001_rulid_village_occlusion_depth_v003.png,,69d8718845bcd771217c409467543b39269ccd3e58823d5c023f5b0408a97ae7,Mavis,"procedural-map-v003 (Python Pillow 11.3.0 + numpy 2.3.5) reading data/world/world_map.json (108x64 tile grid, 28px/tile)",2026-08-07,owned,none,false,,,,,VIS-MAP-001-v002,26287 bytes; VIS-MAP-001_rulid_village_occlusion_depth_v003.png
VIS-MAP-001-tiles-atlas-v003,VIS-MAP-001,received,visual/world/tiles_atlas_v003.png,,12beca9f5d2d66ff1d6856c7f6ffe8de0061625adee1709a5b62fdad8177f5d2,Mavis,"procedural-map-v003 (Python Pillow 11.3.0 + numpy 2.3.5) reading data/world/world_map.json (108x64 tile grid, 28px/tile)",2026-08-07,owned,none,false,,,,,VIS-MAP-001-v002,870 bytes; tiles_atlas_v003.png
VIS-MAP-001-props-atlas-v003,VIS-MAP-001,received,visual/world/props_atlas_v003.png,,49c86e3f84e0f80ea5aa2c684f88d7a883d59309c1aad483ae6fbb99efa7fc10,Mavis,"procedural-map-v003 (Python Pillow 11.3.0 + numpy 2.3.5) reading data/world/world_map.json (108x64 tile grid, 28px/tile)",2026-08-07,owned,none,false,,,,,VIS-MAP-001-v002,1273 bytes; props_atlas_v003.png
