asset_id,request_id,status,source_file,runtime_file,sha256,creator,tool_model,created_at,license,source_url,attribution_required,attribution_text,approved_by,approved_at,integrated_at,replaces_asset_id,notes
VIS-MAP-001_UW-UPGRADE-1.0_terrain,VIS-MAP-001,received,materials/inbox/visual/world/VIS-MAP-001_UW-UPGRADE-1.0_terrain.png,,8d95562b5becab016664dce85a523835db35abf0796bd30a29b2769fc7275c45,WorkBuddy AI Asset Agent,Hunyuan+Python PIL,2026-08-07T17:56:00+08:00,Project original - UW 0.5.0-pre-capture,"AI generated, no external URL",false,,,,,VIS-MAP-001_v005,"Independent terrain layer, 3024x1792, RGBA"
VIS-MAP-001_UW-UPGRADE-1.0_water,VIS-MAP-001,received,materials/inbox/visual/world/VIS-MAP-001_UW-UPGRADE-1.0_water.png,,847a90fe8f4bc25ef0d1775d66579f15bdf1d4fddbcee8803840f59d3f7e0043,WorkBuddy AI Asset Agent,Hunyuan+Python PIL,2026-08-07T17:56:00+08:00,Project original - UW 0.5.0-pre-capture,"AI generated, no external URL",false,,,,,VIS-MAP-001_v005,"Independent water layer, 3024x1792, RGBA"
VIS-MAP-001_UW-UPGRADE-1.0_roads,VIS-MAP-001,received,materials/inbox/visual/world/VIS-MAP-001_UW-UPGRADE-1.0_roads.png,,e165fd03bd427fe4a7d6c6e52c2aff01e09f618bf952633f5d10422ad4e30b2a,WorkBuddy AI Asset Agent,Hunyuan+Python PIL,2026-08-07T17:56:00+08:00,Project original - UW 0.5.0-pre-capture,"AI generated, no external URL",false,,,,,VIS-MAP-001_v005,"Independent roads layer, 3024x1792, RGBA"
VIS-MAP-001_UW-UPGRADE-1.0_buildings,VIS-MAP-001,received,materials/inbox/visual/world/VIS-MAP-001_UW-UPGRADE-1.0_buildings.png,,47dfd21f2e15daea77c118034187ca8fc693e2787d3db14b0b5bed3cd87129b7,WorkBuddy AI Asset Agent,Hunyuan+Python PIL,2026-08-07T17:56:00+08:00,Project original - UW 0.5.0-pre-capture,"AI generated, no external URL",false,,,,,VIS-MAP-001_v005,"Independent buildings layer, 3024x1792, RGBA"
VIS-MAP-001_UW-UPGRADE-1.0_vegetation,VIS-MAP-001,received,materials/inbox/visual/world/VIS-MAP-001_UW-UPGRADE-1.0_vegetation.png,,5ecb00784171ed7590b77253e974843fe42615e05f7663f294ce63efe720a94d,WorkBuddy AI Asset Agent,Hunyuan+Python PIL,2026-08-07T17:56:00+08:00,Project original - UW 0.5.0-pre-capture,"AI generated, no external URL",false,,,,,VIS-MAP-001_v005,"Independent vegetation layer, 3024x1792, RGBA"
VIS-MAP-001_UW-UPGRADE-1.0_occlusion,VIS-MAP-001,received,materials/inbox/visual/world/VIS-MAP-001_UW-UPGRADE-1.0_occlusion.png,,2b77563771bb6badff0dfb57a33f476d6486f35da81fff5d32028f182879740b,WorkBuddy AI Asset Agent,Hunyuan+Python PIL,2026-08-07T17:56:00+08:00,Project original - UW 0.5.0-pre-capture,"AI generated, no external URL",false,,,,,VIS-MAP-001_v005,"Independent occlusion layer, 3024x1792, RGBA"
VIS-MAP-001_UW-UPGRADE-1.0_foreground,VIS-MAP-001,received,materials/inbox/visual/world/VIS-MAP-001_UW-UPGRADE-1.0_foreground.png,,781d174489cab0d2e7957006e77210f86d76a0ef213c1678a6154b31c175cb73,WorkBuddy AI Asset Agent,Hunyuan+Python PIL,2026-08-07T17:56:00+08:00,Project original - UW 0.5.0-pre-capture,"AI generated, no external URL",false,,,,,VIS-MAP-001_v005,"Independent foreground layer, 3024x1792, RGBA"
VIS-MAP-001_UW-UPGRADE-1.0_lighting,VIS-MAP-001,received,materials/inbox/visual/world/VIS-MAP-001_UW-UPGRADE-1.0_lighting.png,,9ad996a52e5a0161be12d46f1d0994bdeb1f78ced55a8f61bea4c396868b09f9,WorkBuddy AI Asset Agent,Hunyuan+Python PIL,2026-08-07T17:56:00+08:00,Project original - UW 0.5.0-pre-capture,"AI generated, no external URL",false,,,,,VIS-MAP-001_v005,"Independent lighting layer, 3024x1792, RGBA"
VIS-MAP-001_UW-UPGRADE-1.0_weather,VIS-MAP-001,received,materials/inbox/visual/world/VIS-MAP-001_UW-UPGRADE-1.0_weather.png,,8dda22e835cb8b633a8f0a3f7cebc17c86fbd6f190b1683fbd78bf89479aa0f5,WorkBuddy AI Asset Agent,Hunyuan+Python PIL,2026-08-07T17:56:00+08:00,Project original - UW 0.5.0-pre-capture,"AI generated, no external URL",false,,,,,VIS-MAP-001_v005,"Independent weather layer, 3024x1792, RGBA"
VIS-MAP-001_UW-UPGRADE-1.0_tile_atlas,VIS-MAP-001,received,materials/inbox/visual/world/VIS-MAP-001_UW-UPGRADE-1.0_tile_atlas.png,,41dfad8fc4ca3e538fc5ecf50b818f62c343c07a4678661e9d1ea80ad1f33bb6,WorkBuddy AI Asset Agent,Python PIL,2026-08-07T17:56:00+08:00,Project original - UW 0.5.0-pre-capture,"AI generated, no external URL",false,,,,,,Tile atlas with terrain/water/road tiles
