asset_id,request_id,status,source_file,runtime_file,sha256,creator,tool_model,created_at,license,source_url,attribution_required,attribution_text,approved_by,approved_at,integrated_at,replaces_asset_id,notes
VIS-CHR-001_UW-UPGRADE-1.0_kirito_sheet,VIS-CHR-001,received,materials/inbox/visual/characters/VIS-CHR-001_UW-UPGRADE-1.0_kirito_sheet.png,,816cc0e443ed01faabb7cd90eeed519872c2b036861b3ee0a75cf4c2ac17e3f3,WorkBuddy AI Asset Agent,Hunyuan+Python PIL,2026-08-07T18:00:00+08:00,Project original - UW 0.5.0-pre-capture,"AI generated, no external URL",false,,,,,VIS-CHR-001_v008,kirito sprite sheet 48 frames
VIS-CHR-001_UW-UPGRADE-1.0_kirito_frames,VIS-CHR-001,received,materials/inbox/visual/characters/VIS-CHR-001_UW-UPGRADE-1.0_kirito_frames.json,,836a25c3d69a619186a7711e4d5ac1b14bab26105d9718f9f109c1c2efc23524,WorkBuddy AI Asset Agent,Hunyuan+Python PIL,2026-08-07T18:00:00+08:00,Project original - UW 0.5.0-pre-capture,"AI generated, no external URL",false,,,,,VIS-CHR-001_v008,kirito frames metadata
VIS-CHR-001_UW-UPGRADE-1.0_kirito_contact_sheet,VIS-CHR-001,received,materials/inbox/visual/characters/VIS-CHR-001_UW-UPGRADE-1.0_kirito_contact_sheet.png,,1860eff4bfdd971304706f008ca1a2cd54ebc4f531d1709a3e095b2e68a605e8,WorkBuddy AI Asset Agent,Hunyuan+Python PIL,2026-08-07T18:00:00+08:00,Project original - UW 0.5.0-pre-capture,"AI generated, no external URL",false,,,,,VIS-CHR-001_v008,kirito contact sheet
VIS-CHR-001_UW-UPGRADE-1.0_kirito_48px_preview,VIS-CHR-001,received,materials/inbox/visual/characters/VIS-CHR-001_UW-UPGRADE-1.0_kirito_48px_preview.png,,3ed51809b7ac7951db6f7ba563cf6b2b73dd3275ec6b53e8aac1eee145fb6e9b,WorkBuddy AI Asset Agent,Hunyuan+Python PIL,2026-08-07T18:00:00+08:00,Project original - UW 0.5.0-pre-capture,"AI generated, no external URL",false,,,,,VIS-CHR-001_v008,kirito 48px display preview
VIS-CHR-002_UW-UPGRADE-1.0_alice_sheet,VIS-CHR-002,received,materials/inbox/visual/characters/VIS-CHR-002_UW-UPGRADE-1.0_alice_sheet.png,,2884e546eb16e6572c77212b370852e45813557813df5035c078d97d9c166d22,WorkBuddy AI Asset Agent,Hunyuan+Python PIL,2026-08-07T18:00:00+08:00,Project original - UW 0.5.0-pre-capture,"AI generated, no external URL",false,,,,,VIS-CHR-002_v008,alice sprite sheet 48 frames
VIS-CHR-002_UW-UPGRADE-1.0_alice_frames,VIS-CHR-002,received,materials/inbox/visual/characters/VIS-CHR-002_UW-UPGRADE-1.0_alice_frames.json,,2c2368af67dfd50d5584d29759dc3e7000bece72b70a3570b9bcdaaa7c714fda,WorkBuddy AI Asset Agent,Hunyuan+Python PIL,2026-08-07T18:00:00+08:00,Project original - UW 0.5.0-pre-capture,"AI generated, no external URL",false,,,,,VIS-CHR-002_v008,alice frames metadata
VIS-CHR-002_UW-UPGRADE-1.0_alice_contact_sheet,VIS-CHR-002,received,materials/inbox/visual/characters/VIS-CHR-002_UW-UPGRADE-1.0_alice_contact_sheet.png,,37642e5809b17029721db4cae1ddbd49cc8cb41f0fa26101874b2cd3a37ff211,WorkBuddy AI Asset Agent,Hunyuan+Python PIL,2026-08-07T18:00:00+08:00,Project original - UW 0.5.0-pre-capture,"AI generated, no external URL",false,,,,,VIS-CHR-002_v008,alice contact sheet
VIS-CHR-002_UW-UPGRADE-1.0_alice_48px_preview,VIS-CHR-002,received,materials/inbox/visual/characters/VIS-CHR-002_UW-UPGRADE-1.0_alice_48px_preview.png,,bfde1da58c2fe02449b9538a97f8d26039c1fcf198c767ce6094e34cbf8a4c39,WorkBuddy AI Asset Agent,Hunyuan+Python PIL,2026-08-07T18:00:00+08:00,Project original - UW 0.5.0-pre-capture,"AI generated, no external URL",false,,,,,VIS-CHR-002_v008,alice 48px display preview
VIS-CHR-003_UW-UPGRADE-1.0_eugeo_sheet,VIS-CHR-003,received,materials/inbox/visual/characters/VIS-CHR-003_UW-UPGRADE-1.0_eugeo_sheet.png,,83edad3110d7a738247cdd1aa2893ea9ca8f571b3793c9f76ff68ab330e52c07,WorkBuddy AI Asset Agent,Hunyuan+Python PIL,2026-08-07T18:00:00+08:00,Project original - UW 0.5.0-pre-capture,"AI generated, no external URL",false,,,,,VIS-CHR-003_v008,eugeo sprite sheet 48 frames
VIS-CHR-003_UW-UPGRADE-1.0_eugeo_frames,VIS-CHR-003,received,materials/inbox/visual/characters/VIS-CHR-003_UW-UPGRADE-1.0_eugeo_frames.json,,75bf72250317c791845be88c6c621e3ea1e6d7917818a642f8594d9c55fbdbf0,WorkBuddy AI Asset Agent,Hunyuan+Python PIL,2026-08-07T18:00:00+08:00,Project original - UW 0.5.0-pre-capture,"AI generated, no external URL",false,,,,,VIS-CHR-003_v008,eugeo frames metadata
VIS-CHR-003_UW-UPGRADE-1.0_eugeo_contact_sheet,VIS-CHR-003,received,materials/inbox/visual/characters/VIS-CHR-003_UW-UPGRADE-1.0_eugeo_contact_sheet.png,,998d81bd48fcea412b3a8b3eabc62a5af2ced294b7d49857b0eb57029bdd9c82,WorkBuddy AI Asset Agent,Hunyuan+Python PIL,2026-08-07T18:00:00+08:00,Project original - UW 0.5.0-pre-capture,"AI generated, no external URL",false,,,,,VIS-CHR-003_v008,eugeo contact sheet
VIS-CHR-003_UW-UPGRADE-1.0_eugeo_48px_preview,VIS-CHR-003,received,materials/inbox/visual/characters/VIS-CHR-003_UW-UPGRADE-1.0_eugeo_48px_preview.png,,af5df4d422e38343546dbc3973ead12d9ea6dca2c276588063fd26ad5d34e037,WorkBuddy AI Asset Agent,Hunyuan+Python PIL,2026-08-07T18:00:00+08:00,Project original - UW 0.5.0-pre-capture,"AI generated, no external URL",false,,,,,VIS-CHR-003_v008,eugeo 48px display preview
